WTI,DateTime,WCS,WCS_Interpolated,WTI_Interpolated,WTI_WCS_diff
71.19,2018-07-30,41.14669112839489,41.14669112839489,71.19,30.043308871605106
69.88,2018-07-31,39.81585533312008,39.81585533312008,69.88,30.064144666879912
68.8,2018-08-01,38.149933641125045,38.149933641125045,68.8,30.650066358874952
68.95,2018-08-02,38.114756201160894,38.114756201160894,68.95,30.83524379883911
68.49,2018-08-03,37.47103801020461,37.47103801020461,68.49,31.018961989795386
69.01,2018-08-06,37.715946755369345,37.715946755369345,69.01,31.29405324463066
69.17,2018-08-07,37.233867877389976,37.233867877389976,69.17,31.936132122610026
66.92,2018-08-08,35.933068508648546,35.933068508648546,66.92,30.986931491351456
66.81,2018-08-09,39.36663245111325,39.36663245111325,66.81,27.443367548886755
67.61,2018-08-10,40.615527716339216,40.615527716339216,67.61,26.994472283660784
67.25,2018-08-13,38.0028233435126,38.0028233435126,67.25,29.247176656487397
67.04,2018-08-14,38.87400001190517,38.87400001190517,67.04,28.16599998809484
65.07,2018-08-15,37.51299946441117,37.51299946441117,65.07,27.55700053558882
65.44,2018-08-16,36.989544288814365,36.989544288814365,65.44,28.450455711185633
65.93,2018-08-17,36.21801739412823,36.21801739412823,65.93,29.711982605871775
66.5,2018-08-20,35.897314211625016,35.897314211625016,66.5,30.602685788374984
67.32,2018-08-21,36.343041234473105,36.343041234473105,67.32,30.976958765526888
67.85,2018-08-22,40.91820950709558,40.91820950709558,67.85,26.931790492904412
69.13,2018-08-23,40.77098790050954,40.77098790050954,69.13,28.359012099490457
69.71,2018-08-24,41.70912785969732,41.70912785969732,69.71,28.000872140302675
69.97,2018-08-27,40.89031186085933,40.89031186085933,69.97,29.07968813914067
68.54,2018-08-28,41.231819690667805,41.231819690667805,68.54,27.3081803093322
69.68,2018-08-29,42.7854877035369,42.7854877035369,69.68,26.894512296463105
70.25,2018-08-30,42.99141886380171,42.99141886380171,70.25,27.258581136198288
69.84,2018-08-31,42.50087833118901,42.50087833118901,69.84,27.339121668810996
69.82,2018-09-04,44.86534246367173,44.86534246367173,69.82,24.954657536328263
68.69,2018-09-05,44.97571251235174,44.97571251235174,68.69,23.714287487648257
67.81,2018-09-06,40.74620035654131,40.74620035654131,67.81,27.063799643458694
67.73,2018-09-07,40.69971628553858,40.69971628553858,67.73,27.030283714461426
67.55,2018-09-10,39.49500979947284,39.49500979947284,67.55,28.054990200527158
69.29,2018-09-11,38.230327804493974,38.230327804493974,69.29,31.05967219550603
70.37,2018-09-12,36.893129399841634,36.893129399841634,70.37,33.47687060015837
68.6,2018-09-13,34.12796862869051,34.12796862869051,68.6,34.472031371309484
68.98,2018-09-14,32.93583842507164,32.93583842507164,68.98,36.04416157492837
68.86,2018-09-17,33.94818212979904,33.94818212979904,68.86,34.91181787020096
69.87,2018-09-18,37.56745009280506,37.56745009280506,69.87,32.302549907194944
71.08,2018-09-19,38.803177390812955,38.803177390812955,71.08,32.27682260918704
70.77,2018-09-20,36.588768726335104,36.588768726335104,70.77,34.18123127366489
70.8,2018-09-21,36.68069723850971,36.68069723850971,70.8,34.11930276149029
73.23,2018-09-24,38.34754056450775,38.34754056450775,73.23,34.88245943549225
73.4,2018-09-25,37.81789749188757,37.81789749188757,73.4,35.582102508112435
72.22,2018-09-26,37.12655191743937,37.12655191743937,72.22,35.09344808256063
72.18,2018-09-27,36.927329331450814,36.927329331450814,72.18,35.25267066854919
73.16,2018-09-28,38.31791712645097,38.31791712645097,73.16,34.842082873549025
75.37,2018-10-01,35.79480663621105,35.79480663621105,75.37,39.575193363788955
75.16,2018-10-02,34.47988425405311,34.47988425405311,75.16,40.680115745946885
76.4,2018-10-03,34.68225974619836,34.68225974619836,76.4,41.717740253801644
74.44,2018-10-04,31.0393848407783,31.0393848407783,74.44,43.4006151592217
74.26,2018-10-05,29.366739766696487,29.366739766696487,74.26,44.89326023330352
74.27,2018-10-08,29.755106933635012,29.755106933635012,74.27,44.514893066364984
73.18,2018-10-10,26.128451355750652,26.128451355750652,73.18,47.05154864424935
73.18,2018-10-10,28.011845218530922,28.011845218530922,73.18,45.168154781469084
70.97,2018-10-11,20.99262402185967,20.99262402185967,70.97,49.97737597814033
71.41,2018-10-12,22.804617272928233,22.804617272928233,71.41,48.60538272707176
71.84,2018-10-15,25.816832279596788,25.816832279596788,71.84,46.023167720403215
71.93,2018-10-16,24.88143442208496,24.88143442208496,71.93,47.04856557791504
69.63,2018-10-17,22.286695809990977,22.286695809990977,69.63,47.34330419000902
68.63,2018-10-18,24.50573995142743,24.50573995142743,68.63,44.124260048572566
69.16,2018-10-19,26.223919492567155,26.223919492567155,69.16,42.93608050743284
69.25,2018-10-22,25.916475899304725,25.916475899304725,69.25,43.33352410069527
66.49,2018-10-23,20.388560111627967,20.388560111627967,66.49,46.10143988837203
66.56,2018-10-24,21.049274900868802,21.049274900868802,66.56,45.5107250991312
67.25,2018-10-25,24.280438338014868,24.280438338014868,67.25,42.96956166198513
67.58,2018-10-26,24.39567563702906,24.39567563702906,67.58,43.18432436297094
67.0,2018-10-29,25.063440312451064,25.063440312451064,67.0,41.936559687548936
66.18,2018-10-30,25.685742040294322,25.685742040294322,66.18,40.494257959705685
65.31,2018-10-31,22.260976434921748,22.260976434921748,65.31,43.04902356507826
63.67,2018-11-01,18.223580000422785,18.223580000422785,63.67,45.446419999577216
63.12,2018-11-02,19.039095630830726,19.039095630830726,63.12,44.080904369169275
63.12,2018-11-05,21.100653756462076,21.100653756462076,63.12,42.019346243537925
62.16,2018-11-06,19.987895814849576,19.987895814849576,62.16,42.17210418515042
61.69,2018-11-07,18.187444164546417,18.187444164546417,61.69,43.50255583545358
60.71,2018-11-08,17.644581330945275,17.644581330945275,60.71,43.06541866905472
60.19,2018-11-09,17.688789927930817,17.688789927930817,60.19,42.501210072069185
59.85,2018-11-12,17.76206821522298,17.76206821522298,59.85,42.08793178477703
55.63,2018-11-13,15.73251930956578,15.73251930956578,55.63,39.89748069043422
56.16,2018-11-14,15.727767000455504,15.727767000455504,56.16,40.432232999544496
56.45,2018-11-15,13.511945162735694,13.511945162735694,56.45,42.93805483726431
56.49,2018-11-16,17.412140034234202,17.412140034234202,56.49,39.077859965765796
57.16,2018-11-19,17.985266324978795,17.985266324978795,57.16,39.1747336750212
53.39,2018-11-20,16.488491391454232,16.488491391454232,53.39,36.90150860854577
54.41,2018-11-21,18.744820391576898,18.744820391576898,54.41,35.6651796084231
51.46,2018-11-26,19.07070493841302,19.07070493841302,51.46,32.38929506158698
51.31,2018-11-27,18.05804069540917,18.05804069540917,51.31,33.251959304590834
50.06,2018-11-28,17.00603894023635,17.00603894023635,50.06,33.05396105976365
51.46,2018-11-29,21.425891909607156,21.425891909607156,51.46,30.034108090392845
50.78,2018-11-30,21.888203191419635,21.888203191419635,50.78,28.891796808580366
52.98,2018-12-03,29.996700362960073,29.996700362960073,52.98,22.983299637039924
53.21,2018-12-04,29.250288726722943,29.250288726722943,53.21,23.95971127327706
52.64,2018-12-05,30.83225053405863,30.83225053405863,52.64,21.80774946594137
51.54,2018-12-06,33.02483622116519,33.02483622116519,51.54,18.51516377883481
52.76,2018-12-07,37.5915712775573,37.5915712775573,52.76,15.168428722442698
51.07,2018-12-10,38.20896315825322,38.20896315825322,51.07,12.861036841746781
51.65,2018-12-11,40.6064369513827,40.6064369513827,51.65,11.043563048617301
51.04,2018-12-12,38.34634369994582,38.34634369994582,51.04,12.69365630005418
52.69,2018-12-13,40.5938124792046,40.5938124792046,52.69,12.096187520795397
51.26,2018-12-14,38.72407268912314,38.72407268912314,51.26,12.535927310876858
49.8,2018-12-17,37.353241781130635,37.353241781130635,49.8,12.446758218869363
46.12,2018-12-18,30.578100837839965,30.578100837839965,46.12,15.541899162160032
47.96,2018-12-19,31.95213640708955,31.95213640708955,47.96,16.00786359291045
45.64,2018-12-20,30.12770971386796,30.12770971386796,45.64,15.512290286132039
45.38,2018-12-21,29.103547617260997,29.103547617260997,45.38,16.276452382739006
46.04,2018-12-26,29.74919554193079,29.74919554193079,46.04,16.29080445806921
44.48,2018-12-27,28.133332383882006,28.133332383882006,44.48,16.34666761611799
45.15,2018-12-28,29.376443030333977,29.376443030333977,45.15,15.773556969666021
46.31,2019-01-02,33.83603059573307,33.83603059573307,46.31,12.473969404266931
46.92,2019-01-03,34.535791810231835,34.535791810231835,46.92,12.384208189768167
47.76,2019-01-04,35.30567223069796,35.30567223069796,47.76,12.45432776930204
48.27,2019-01-07,38.01521828087293,38.01521828087293,48.27,10.254781719127074
49.58,2019-01-08,40.721752338446635,40.721752338446635,49.58,8.858247661553364
52.19,2019-01-09,43.81076110244725,43.81076110244725,52.19,8.379238897552746
52.42,2019-01-10,44.68230162859782,44.68230162859782,52.42,7.737698371402182
51.44,2019-01-11,44.697728911988975,44.697728911988975,51.44,6.742271088011023
50.31,2019-01-14,42.96177777990526,42.96177777990526,50.31,7.3482222200947405
51.8,2019-01-15,44.22172991093096,44.22172991093096,51.8,7.578270089069036
52.08,2019-01-16,44.25842844197738,44.25842844197738,52.08,7.821571558022619
51.83,2019-01-17,41.903666822268946,41.903666822268946,51.83,9.926333177731053
53.6,2019-01-18,42.68308766578662,42.68308766578662,53.6,10.916912334213379
51.83,2019-01-21,,42.352710702628244,51.83,9.477289297371755
52.59,2019-01-22,42.022333739469865,42.022333739469865,52.59,10.567666260530139
52.44,2019-01-23,43.37078193826169,43.37078193826169,52.44,9.069218061738304
